latent_key,group,group_label,metric,mean,ci_low,ci_high,std,n_rollouts
action_head_input,natural_success,natural success,early_mean_margin_chunk_0_4,0.012820146094270537,0.008395455964666966,0.017519658964703828,0.01072430460411071,20
action_head_input,natural_success,natural success,post_intervention_mean_margin_chunk_2_4,0.015401121270553838,0.008528892939121804,0.02246259244106848,0.016524774223245817,20
action_head_input,natural_success,natural success,nearest_success_ratio_chunk_0_4,0.76,0.6500000000000001,0.86,0.23929721664644754,20
action_head_input,natural_success,natural success,nearest_success_ratio_pre_patch_chunk_0_1,0.725,0.6,0.85,0.3024026594146497,20
action_head_input,natural_success,natural success,nearest_success_ratio_post_patch_chunk_2_4,0.7833333333333333,0.6333333333333333,0.9166666666666666,0.34666329283108593,20
action_head_input,natural_success,natural success,template_switch_count,6.65,5.6,7.85,2.6611236249690506,20
action_head_input,natural_success,natural success,template_switch_rate,0.2991202685100401,0.2637676389730759,0.3390190476190476,0.08825337460723809,20
action_head_input,natural_success,natural success,template_entropy_chunk_0_4,0.5439600115469774,0.36222101763440895,0.7145048506719084,0.4222048441032888,20
action_head_input,natural_success,natural success,template_entropy_full_rollout,0.9787461649683558,0.9654581130566168,0.9886965479129561,0.027643212100752636,20
action_head_input,natural_success,natural success,mean_margin_full_rollout,-0.0006382352202934582,-0.002874619848653062,0.0014675053428606262,0.005095877019882703,20
action_head_input,natural_success,natural success,margin_variance_full_rollout,0.0019393812166699155,0.001606579462793648,0.002259983581877323,0.0007441569612495631,20
action_head_input,natural_success,natural success,abs_margin_mean_full_rollout,0.0350837823117976,0.03173527430572129,0.038191876733582826,0.007519440998963367,20
action_head_input,natural_success,natural success,min_margin_full_rollout,-0.06941113387925532,-0.0764275014483069,-0.06252311937580837,0.016418189804941793,20
action_head_input,natural_success,natural success,final_margin,0.06797354331761167,0.054748793619288985,0.08060475431187389,0.030218574944068762,20
action_head_input,natural_success,natural success,late_success_alignment_final_20pct,0.030960820106062735,0.020115270326707096,0.04173019832733737,0.025553875864027596,20
action_head_input,natural_failure,natural failure,early_mean_margin_chunk_0_4,-0.012833347188245319,-0.016221175853338776,-0.009542246451933266,0.009919280113581114,33
action_head_input,natural_failure,natural failure,post_intervention_mean_margin_chunk_2_4,-0.015381212886129942,-0.02013975341195433,-0.010526965869836084,0.01451474684929323,33
action_head_input,natural_failure,natural failure,nearest_success_ratio_chunk_0_4,0.19393939393939397,0.1333333333333333,0.2606060606060606,0.19029482707662132,33
action_head_input,natural_failure,natural failure,nearest_success_ratio_pre_patch_chunk_0_1,0.15151515151515152,0.07575757575757576,0.22727272727272727,0.23334686107971878,33
action_head_input,natural_failure,natural failure,nearest_success_ratio_post_patch_chunk_2_4,0.2222222222222222,0.1313131313131313,0.32323232323232315,0.2721655269759087,33
action_head_input,natural_failure,natural failure,template_switch_count,16.666666666666668,15.757575757575758,17.606060606060606,2.7348065135703234,33
action_head_input,natural_failure,natural failure,template_switch_rate,0.28248587570621475,0.26707755521314847,0.297894196199281,0.046352652772378364,33
action_head_input,natural_failure,natural failure,template_entropy_chunk_0_4,0.5197778784597897,0.38097208849338116,0.6585836684261981,0.41085749896260304,33
action_head_input,natural_failure,natural failure,template_entropy_full_rollout,0.9888446544095832,0.9832360847120185,0.9931802767048443,0.015077218368145085,33
action_head_input,natural_failure,natural failure,mean_margin_full_rollout,0.004930760368150089,0.0037222658849198104,0.006136582784647385,0.0036027185251564014,33
action_head_input,natural_failure,natural failure,margin_variance_full_rollout,0.0016113011223438595,0.0014778512517677088,0.0017593936947557418,0.00042329430364753746,33
action_head_input,natural_failure,natural failure,abs_margin_mean_full_rollout,0.032776069797881786,0.03125028741359205,0.034487161586248295,0.004877674106976834,33
action_head_input,natural_failure,natural failure,min_margin_full_rollout,-0.07477199326292558,-0.07825249461488638,-0.07137432597055846,0.010315920596609834,33
action_head_input,natural_failure,natural failure,final_margin,-0.000489460394249199,-0.014394742682235628,0.01325117524183324,0.040907890139364404,33
action_head_input,natural_failure,natural failure,late_success_alignment_final_20pct,-0.001096575792091453,-0.00642090483473993,0.0034219891623158837,0.01526285824068796,33
action_head_input,intervention_recovered_success,intervention recovered success,early_mean_margin_chunk_0_4,0.008617759931421172,0.004923406973224558,0.01246699179094408,0.007189988230839232,13
action_head_input,intervention_recovered_success,intervention recovered success,post_intervention_mean_margin_chunk_2_4,0.01618397203228923,0.011171454270137651,0.020649278413481652,0.009134624982872652,13
action_head_input,intervention_recovered_success,intervention recovered success,nearest_success_ratio_chunk_0_4,0.6307692307692309,0.5230769230769231,0.7538461538461539,0.22870874995874624,13
action_head_input,intervention_recovered_success,intervention recovered success,nearest_success_ratio_pre_patch_chunk_0_1,0.3076923076923077,0.11538461538461539,0.5384615384615384,0.38397382389415224,13
action_head_input,intervention_recovered_success,intervention recovered success,nearest_success_ratio_post_patch_chunk_2_4,0.846153846153846,0.717948717948718,0.9487179487179487,0.2200750972578416,13
action_head_input,intervention_recovered_success,intervention recovered success,template_switch_count,8.307692307692308,7.0,9.692307692307692,2.626296993379823,13
action_head_input,intervention_recovered_success,intervention recovered success,template_switch_rate,0.342266270336172,0.2995216044162837,0.3906483622232959,0.08606902672399672,13
action_head_input,intervention_recovered_success,intervention recovered success,template_entropy_chunk_0_4,0.7641068492538027,0.5591969043463643,0.932639440675083,0.3553554998803576,13
action_head_input,intervention_recovered_success,intervention recovered success,template_entropy_full_rollout,0.9717622831317295,0.9585351910553384,0.9830515463293853,0.023614310680889723,13
action_head_input,intervention_recovered_success,intervention recovered success,mean_margin_full_rollout,-0.004832102828181018,-0.009032428688656096,-0.0008353408455313764,0.007823760744664517,13
action_head_input,intervention_recovered_success,intervention recovered success,margin_variance_full_rollout,0.0014103396728284217,0.0010480777118232801,0.0018104437217599434,0.0007335674424398304,13
action_head_input,intervention_recovered_success,intervention recovered success,abs_margin_mean_full_rollout,0.029537584700879308,0.025774975016126158,0.03345688677827475,0.007349426712515465,13
action_head_input,intervention_recovered_success,intervention recovered success,min_margin_full_rollout,-0.06859427134647698,-0.07783743444385187,-0.059524161753619374,0.017905042428414092,13
action_head_input,intervention_recovered_success,intervention recovered success,final_margin,0.03610986906082487,0.017228425534054726,0.05156925269095656,0.03285355113990665,13
action_head_input,intervention_recovered_success,intervention recovered success,late_success_alignment_final_20pct,0.016851705596149805,0.005359025114346459,0.029593689461875308,0.022914787418361993,13
