latent_key,group,time_bin,normalized_time,mean_margin,std_margin,sem_margin,n
action_head_input,intervention_recovered_success,0,0.0,-0.0042467428299971435,0.014124078890910914,0.00391731466614445,13
action_head_input,intervention_recovered_success,1,0.05263157894736842,0.0023529113089842744,0.006812674077571477,0.0018894958238237153,13
action_head_input,intervention_recovered_success,2,0.10526315789473684,0.01629683218919982,0.009451128487433456,0.002621271413264596,13
action_head_input,intervention_recovered_success,3,0.15789473684210525,0.013245985306060118,0.011782493228123877,0.003267875652831374,13
action_head_input,intervention_recovered_success,4,0.21052631578947367,-0.015416252435853898,0.025297178142380104,0.007016174839761411,13
action_head_input,intervention_recovered_success,5,0.2631578947368421,-0.03147335997513459,0.023173369923718087,0.006427136421943124,13
action_head_input,intervention_recovered_success,6,0.3157894736842105,-0.028057149632308667,0.025322704483967468,0.007023254573105122,13
action_head_input,intervention_recovered_success,7,0.3684210526315789,-0.02560881923353928,0.03203676097358189,0.00888539879923332,13
action_head_input,intervention_recovered_success,8,0.42105263157894735,-0.018219531571828006,0.027577497334091653,0.007648621591310687,13
action_head_input,intervention_recovered_success,9,0.47368421052631576,-0.006656788032235151,0.02935325939401528,0.008141129372855162,13
action_head_input,intervention_recovered_success,10,0.5263157894736842,-0.00037635719578335813,0.03177584509522413,0.008813033754771655,13
action_head_input,intervention_recovered_success,11,0.5789473684210527,-0.01221439200614452,0.021787272151109156,0.0060427020687163595,13
action_head_input,intervention_recovered_success,12,0.631578947368421,-0.022223428388444655,0.02892736772769432,0.0080230082774157,13
action_head_input,intervention_recovered_success,13,0.6842105263157894,-0.02081685355925396,0.0364330617605864,0.010104713253841584,13
action_head_input,intervention_recovered_success,14,0.7368421052631579,-0.012477088102219532,0.044026876913324894,0.012210858631502664,13
action_head_input,intervention_recovered_success,15,0.7894736842105263,-0.012845888430120224,0.04054813935933355,0.01124603042959513,13
action_head_input,intervention_recovered_success,16,0.8421052631578947,-0.009665831395932804,0.04021727390629554,0.011154264863732962,13
action_head_input,intervention_recovered_success,17,0.894736842105263,0.011415270774335741,0.03541101618416663,0.009821248812945998,13
action_head_input,intervention_recovered_success,18,0.9473684210526315,0.04619809076483044,0.040211011312778995,0.01115252793280671,13
action_head_input,intervention_recovered_success,19,1.0,0.03610986906082487,0.03285355113990665,0.00911193563200091,13
