latent_key,rollout_id,trial_id,group,group_label,num_chunks,early_mean_margin_chunk_0_4,post_intervention_mean_margin_chunk_2_4,nearest_success_ratio_chunk_0_4,nearest_success_ratio_pre_patch_chunk_0_1,nearest_success_ratio_post_patch_chunk_2_4,template_switch_count,template_switch_rate,template_entropy_chunk_0_4,template_entropy_full_rollout,mean_margin_full_rollout,margin_variance_full_rollout,abs_margin_mean_full_rollout,min_margin_full_rollout,final_margin,late_success_alignment_final_20pct
action_head_input,intervention_success_trial_000,0,intervention_recovered_success,intervention recovered success,21,0.015748314162621214,0.029685285541610613,0.8,0.5,1.0,6,0.3,0.7219280948873623,0.998363672593813,0.002811588854014397,0.002884277645502194,0.0423227098567388,-0.07011436176754016,0.061297910617589914,0.06639256927368753
action_head_input,intervention_success_trial_001,1,intervention_unrecovered_failure,intervention unrecovered failure,60,0.009177976719436653,0.016167511503833294,0.8,0.5,1.0,16,0.2711864406779661,0.7219280948873623,0.9991983542636398,0.0016027533257503084,0.0013512618365971304,0.029193757637901642,-0.08791818075028013,-0.05796442682731706,0.0008577131950837554
action_head_input,intervention_success_trial_002,2,intervention_recovered_success,intervention recovered success,23,0.0019458342090836523,0.008077114927008244,0.4,0.0,0.6666666666666666,5,0.22727272727272727,0.9709505944546686,0.9656361333706098,-0.0032939224827225146,0.002225758657055889,0.035370954501459814,-0.09084990263143122,0.0827660376536992,0.05167897434952051
action_head_input,intervention_success_trial_003,3,intervention_recovered_success,intervention recovered success,28,0.011943999382115388,0.022263670285919985,0.6,0.0,1.0,7,0.25925925925925924,0.9709505944546686,0.996316519558962,-0.002693710454840569,0.0017047410436800217,0.033177237176247765,-0.07523214777150783,0.019356400150136205,0.014825149146976283
action_head_input,intervention_success_trial_004,4,intervention_recovered_success,intervention recovered success,22,0.0030845848384735584,0.009675360725329226,0.4,0.0,0.6666666666666666,11,0.5238095238095238,0.9709505944546686,0.9760206482366149,-0.0030506529525818242,0.0008518452143112512,0.023132100924743822,-0.04481300935954463,0.02424223674769499,0.027290849932431593
action_head_input,intervention_success_trial_005,5,intervention_recovered_success,intervention recovered success,28,0.020578483032067794,0.020822122560084422,1.0,1.0,1.0,8,0.2962962962962963,0.0,0.9852281360342515,-0.008376353441231084,0.0009533249079757839,0.025967701186538832,-0.07445243437795201,0.03462536017452783,0.00686069248158639
action_head_input,intervention_success_trial_006,6,intervention_recovered_success,intervention recovered success,27,0.007819192106869188,0.017441499042329056,0.6,0.0,1.0,11,0.4230769230769231,0.9709505944546686,0.9751190649408661,-0.0012765763413810775,0.0013059141819675758,0.026450586731784895,-0.08059918052335702,0.05458256199936689,0.018419154930412924
action_head_input,intervention_success_trial_007,7,intervention_unrecovered_failure,intervention unrecovered failure,60,0.006585773921320826,0.008094717766685874,0.6,0.5,0.6666666666666666,20,0.3389830508474576,0.9709505944546686,0.9991983542636398,0.007854275729306543,0.002454947243272217,0.04229149223713504,-0.07131338208130653,0.02929972601007111,0.008468191731535494
action_head_input,intervention_success_trial_008,8,intervention_recovered_success,intervention recovered success,30,0.020441895592769634,0.026961338893764952,1.0,1.0,1.0,10,0.3448275862068966,0.0,0.9709505944546686,0.009718065967853842,0.002522663061344771,0.04097678588655558,-0.09631092763883271,0.04892139132536072,0.023217414143110515
action_head_input,intervention_success_trial_009,9,intervention_recovered_success,intervention recovered success,31,0.011504536605071402,0.020985227938414248,0.6,0.0,1.0,11,0.36666666666666664,0.9709505944546686,0.9383153522334069,-0.008585989188407703,0.0006610993958892915,0.021323095974945347,-0.05892619136812077,0.030348279469866693,0.00015614147429054783
