latent_key,rollout_id,trial_id,chunk_id,group,dominant_failure_mode,centroid_mode,cos_success_centroid,cos_bowl_centroid,margin_success_minus_bowl,nearest_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_004,4,4,natural_failure,wrong_receptacle,chunk_aligned,0.7980413329481705,0.796303764979434,0.0017375679687364753,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,5,0,natural_success,success,chunk_aligned,0.9059602440568444,0.914540198585011,-0.008579954528166622,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,5,1,natural_success,success,chunk_aligned,0.9332970975769859,0.923913872732634,0.009383224844351834,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,5,2,natural_success,success,chunk_aligned,0.951233339653109,0.9533693263588108,-0.002135986705701809,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,5,3,natural_success,success,chunk_aligned,0.9424784239966179,0.9326830078907242,0.009795416105893628,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_005,5,4,natural_success,success,chunk_aligned,0.8699684559937111,0.8608740732351349,0.009094382758576214,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,6,0,natural_success,success,chunk_aligned,0.8898871351692957,0.8790257751821535,0.010861359987142216,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,6,1,natural_success,success,chunk_aligned,0.9272038615548174,0.9115698396321477,0.015634021922669716,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,6,2,natural_success,success,chunk_aligned,0.9375319976171111,0.9318141093271575,0.0057178882899536765,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,6,3,natural_success,success,chunk_aligned,0.8749158834305079,0.8672151862695087,0.0077006971609991925,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_006,6,4,natural_success,success,chunk_aligned,0.8887279330554092,0.8833251976622479,0.005402735393161273,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,7,0,natural_failure,wrong_receptacle,chunk_aligned,0.9193463572960584,0.9310825636014067,-0.011736206305348329,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,7,1,natural_failure,wrong_receptacle,chunk_aligned,0.9255171113923129,0.9325794273157887,-0.007062315923475837,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,7,2,natural_failure,wrong_receptacle,chunk_aligned,0.8935667047283691,0.8995202453146831,-0.005953540586314032,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,7,3,natural_failure,wrong_receptacle,chunk_aligned,0.8786523519627036,0.9196684617538857,-0.04101610979118209,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_007,7,4,natural_failure,wrong_receptacle,chunk_aligned,0.8337136104110412,0.8656647532682548,-0.031951142857213566,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,8,0,natural_success,success,chunk_aligned,0.9059871441967904,0.8960801003265544,0.009907043870235999,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_008,8,1,natural_success,success,chunk_aligned,0.9221067336553684,0.9091543123872639,0.012952421268104586,success_template
