latent_key,centroid_mode,group,chunk_id,mean_margin,std_margin,sem_margin,n
action_head_input,chunk_aligned,intervention_recovered_success,0,-0.0042467428299971435,0.014124078890910914,0.00391731466614445,13
action_head_input,chunk_aligned,intervention_recovered_success,1,-0.0012163736097646931,0.00886169820326442,0.0024577928661197674,13
action_head_input,chunk_aligned,intervention_recovered_success,2,0.012147333001726657,0.0,0.0,13
action_head_input,chunk_aligned,intervention_recovered_success,3,0.01729654531815759,0.014935153222287518,0.004142266211528375,13
action_head_input,chunk_aligned,intervention_recovered_success,4,0.01910803777698345,0.01880874240384748,0.005216606551081993,13
action_head_input,chunk_aligned,intervention_unrecovered_failure,0,-0.0004745485373024597,0.012841695397466395,0.004853704633448404,7
action_head_input,chunk_aligned,intervention_unrecovered_failure,1,0.003860482019616212,0.007327592102217973,0.0027695694873413916,7
action_head_input,chunk_aligned,intervention_unrecovered_failure,2,0.012147333001726657,0.0,0.0,7
action_head_input,chunk_aligned,intervention_unrecovered_failure,3,0.0017319762832915173,0.016387699038513254,0.006193968030925481,7
action_head_input,chunk_aligned,intervention_unrecovered_failure,4,0.0109142007039489,0.015470805890974212,0.005847414995610116,7
action_head_input,chunk_aligned,natural_failure,0,-0.010506667307851143,0.009956087592653607,0.0017331323906187466,33
action_head_input,chunk_aligned,natural_failure,1,-0.007516429974985627,0.00904092846359838,0.0015738236346063547,33
action_head_input,chunk_aligned,natural_failure,2,-0.010753275399750307,0.009120268879612118,0.0015876350282485762,33
action_head_input,chunk_aligned,natural_failure,3,-0.015664523945349444,0.021280230058920217,0.003704412566854813,33
action_head_input,chunk_aligned,natural_failure,4,-0.019725839313290066,0.023743070034090326,0.004133137976726414,33
action_head_input,chunk_aligned,natural_success,0,0.010419334372660077,0.01449607643056543,0.003241421230577681,20
action_head_input,chunk_aligned,natural_success,1,0.007478032287031089,0.00881186576382171,0.001970393085650845,20
action_head_input,chunk_aligned,natural_success,2,0.010852609662481305,0.013344220322184606,0.002983858374713892,20
action_head_input,chunk_aligned,natural_success,3,0.015656311903672098,0.020926064330003272,0.0046792102343420905,20
action_head_input,chunk_aligned,natural_success,4,0.019694442245508113,0.02351735726300697,0.005258640949123198,20
chunk_vector_mean,chunk_aligned,intervention_recovered_success,0,-0.004246742689136367,0.014124078724617024,0.003917314620022824,13
chunk_vector_mean,chunk_aligned,intervention_recovered_success,1,-0.0012163734014869647,0.008861698326905186,0.002457792900411546,13
chunk_vector_mean,chunk_aligned,intervention_recovered_success,2,0.012147333653809378,0.0,0.0,13
chunk_vector_mean,chunk_aligned,intervention_recovered_success,3,0.0172965453176265,0.014935153443795092,0.004142266272963522,13
chunk_vector_mean,chunk_aligned,intervention_recovered_success,4,0.019108037787048213,0.018808742347127344,0.005216606535350657,13
chunk_vector_mean,chunk_aligned,intervention_unrecovered_failure,0,-0.0004745483529767304,0.01284169509178974,0.0048537045179134885,7
chunk_vector_mean,chunk_aligned,intervention_unrecovered_failure,1,0.0038604822686595214,0.007327592708621559,0.0027695697165404033,7
chunk_vector_mean,chunk_aligned,intervention_unrecovered_failure,2,0.012147333653809378,0.0,0.0,7
chunk_vector_mean,chunk_aligned,intervention_unrecovered_failure,3,0.0017319760020506455,0.016387699600636234,0.0061939682433879975,7
chunk_vector_mean,chunk_aligned,intervention_unrecovered_failure,4,0.010914201088464224,0.015470805377307724,0.0058474148014624324,7
chunk_vector_mean,chunk_aligned,natural_failure,0,-0.010506667139596384,0.009956087685206257,0.001733132406730095,33
chunk_vector_mean,chunk_aligned,natural_failure,1,-0.007516429868391039,0.00904092819094035,0.001573823587142684,33
chunk_vector_mean,chunk_aligned,natural_failure,2,-0.010753275342274186,0.009120268981938509,0.0015876350460613143,33
chunk_vector_mean,chunk_aligned,natural_failure,3,-0.015664524189211947,0.021280230131948286,0.0037044125795673683,33
chunk_vector_mean,chunk_aligned,natural_failure,4,-0.019725839643668763,0.023743070343760525,0.004133138030633077,33
chunk_vector_mean,chunk_aligned,natural_success,0,0.010419334206002362,0.01449607633795578,0.0032414212098695336,20
chunk_vector_mean,chunk_aligned,natural_success,1,0.007478032178887484,0.008811865503603458,0.0019703930274642747,20
chunk_vector_mean,chunk_aligned,natural_success,2,0.010852609594156949,0.0133442201878402,0.00298385834467357,20
chunk_vector_mean,chunk_aligned,natural_success,3,0.015656312155800794,0.020926064653644764,0.004679210306710528,20
chunk_vector_mean,chunk_aligned,natural_success,4,0.019694442571650556,0.023517357338325377,0.005258640965964906,20
