latent_key,rollout_id,trial_id,group,dominant_failure_mode,num_chunks,mean_margin,min_margin,max_margin,negative_fraction,positive_fraction,zero_crossing_count,template_switch_count,persistent_negative,persistent_positive
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_010,10,natural_success,success,22,-0.003290953711072682,-0.05912028101978045,0.061508551909146815,0.5,0.5,7,7,0,0
chunk_vector_mean,intervention_success_trial_010,10,intervention_recovered_success,intervention_recovered_success,21,-0.01526839461387285,-0.06662399566215373,0.06358015559132446,0.5714285714285714,0.42857142857142855,5,5,0,0
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_011,11,natural_failure,wrong_receptacle,60,0.00436835214618889,-0.07488255304461897,0.09668602007593559,0.5333333333333333,0.4666666666666667,12,12,0,0
chunk_vector_mean,intervention_success_trial_011,11,intervention_recovered_success,intervention_recovered_success,22,-0.001787624265507704,-0.04611283882952055,0.0742283859580079,0.5454545454545454,0.45454545454545453,7,7,0,0
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,natural_failure,wrong_receptacle,60,0.003087595733116326,-0.09168294305626212,0.09548762926223944,0.43333333333333335,0.5666666666666667,18,18,0,0
chunk_vector_mean,intervention_success_trial_012,12,intervention_recovered_success,intervention_recovered_success,18,-0.022047076031791128,-0.08885936108400373,0.02932046138561817,0.6666666666666666,0.3333333333333333,6,6,0,0
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,natural_failure,wrong_receptacle,60,-0.0023838552447184055,-0.07637422132913207,0.06844345061033173,0.5166666666666667,0.48333333333333334,15,15,0,0
chunk_vector_mean,intervention_success_trial_013,13,intervention_unrecovered_failure,intervention_unrecovered_failure,60,-0.003478580361235272,-0.08356571224861076,0.09687879367484907,0.6,0.4,13,13,0,0
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,natural_failure,wrong_receptacle,60,0.003821984616950687,-0.06168840788071728,0.08405950842325463,0.5333333333333333,0.4666666666666667,17,17,0,0
chunk_vector_mean,intervention_success_trial_014,14,intervention_recovered_success,intervention_recovered_success,27,-0.0048076337375117595,-0.054112283769962286,0.06233511993611485,0.6296296296296297,0.37037037037037035,8,8,0,0
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,natural_failure,wrong_receptacle,60,0.007033830701557744,-0.08617399086622884,0.09324594311870209,0.48333333333333334,0.5166666666666667,17,17,0,0
chunk_vector_mean,intervention_success_trial_015,15,intervention_unrecovered_failure,intervention_unrecovered_failure,60,0.0049839558343512825,-0.07625666263182557,0.07465324473846867,0.4166666666666667,0.5833333333333334,17,17,0,0
chunk_vector_mean,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_016,16,natural_success,success,21,0.00018408843560043824,-0.05274625502018457,0.08217820732939576,0.47619047619047616,0.5238095238095238,6,6,0,0
