latent_key,group,time_bin,normalized_time,mean_cosine_drift,std_cosine_drift,sem_cosine_drift,n
action_head_input,intervention_recovered_success,0,0.0,0.2178614835473997,0.04711246467654096,0.013066646700365725,13
action_head_input,intervention_recovered_success,1,0.05263157894736842,0.11107634248501935,0.01916878129166211,0.005316463371941737,13
action_head_input,intervention_recovered_success,2,0.10526315789473684,0.22650495186174271,0.08384079736607843,0.02325325337532169,13
action_head_input,intervention_recovered_success,3,0.15789473684210525,0.34020225782062613,0.07804737523369074,0.021646447178496172,13
action_head_input,intervention_recovered_success,4,0.21052631578947367,0.31122352165840866,0.06399976669473761,0.01775034157196992,13
action_head_input,intervention_recovered_success,5,0.2631578947368421,0.3529247116347094,0.13542109279567227,0.03755905337339719,13
action_head_input,intervention_recovered_success,6,0.3157894736842105,0.4036769386592975,0.16282659618681342,0.045159972427755775,13
action_head_input,intervention_recovered_success,7,0.3684210526315789,0.47477417212009,0.12181775930143547,0.03378616749411199,13
action_head_input,intervention_recovered_success,8,0.42105263157894735,0.5060631108142307,0.18112365388602458,0.05023466317580416,13
action_head_input,intervention_recovered_success,9,0.47368421052631576,0.4866231913247843,0.16090296325988468,0.04462645264673944,13
action_head_input,intervention_recovered_success,10,0.5263157894736842,0.44687938370633085,0.2534355177912641,0.07029036572462838,13
action_head_input,intervention_recovered_success,11,0.5789473684210527,0.39019130471207053,0.2022920251603317,0.056105713025617496,13
action_head_input,intervention_recovered_success,12,0.631578947368421,0.394383416435818,0.1892261656005939,0.05248189559479857,13
action_head_input,intervention_recovered_success,13,0.6842105263157894,0.3631121654858739,0.1775930299545941,0.04925544428202318,13
action_head_input,intervention_recovered_success,14,0.7368421052631579,0.3530057377459271,0.18791344952569802,0.05211781366263219,13
action_head_input,intervention_recovered_success,15,0.7894736842105263,0.3402635402589847,0.1259078174560131,0.0349205455245704,13
action_head_input,intervention_recovered_success,16,0.8421052631578947,0.35370572784286886,0.16930528723349142,0.04695683802519324,13
action_head_input,intervention_recovered_success,17,0.894736842105263,0.477090805336065,0.23236937805068034,0.06444766980072342,13
action_head_input,intervention_recovered_success,18,0.9473684210526315,0.5307877813919201,0.16121586269165372,0.04471323533483996,13
action_head_input,intervention_recovered_success,19,1.0,0.45264537917880493,0.18210663548825146,0.05050729321962468,13
action_head_input,intervention_unrecovered_failure,0,0.0,0.2072407078860325,0.04470873686219006,0.016898314167025877,7
action_head_input,intervention_unrecovered_failure,1,0.05263157894736842,0.34228434342385405,0.03014198734454734,0.011392600362132632,7
action_head_input,intervention_unrecovered_failure,2,0.10526315789473684,0.3021925599840197,0.09677668603858995,0.03657814913815509,7
action_head_input,intervention_unrecovered_failure,3,0.15789473684210525,0.43767286769006963,0.1798359748399259,0.06797160945847323,7
action_head_input,intervention_unrecovered_failure,4,0.21052631578947367,0.2869829225477831,0.04588581142365888,0.017343206533344004,7
action_head_input,intervention_unrecovered_failure,5,0.2631578947368421,0.4394535760237468,0.20536309633187508,0.07761995448062033,7
action_head_input,intervention_unrecovered_failure,6,0.3157894736842105,0.37129692534547337,0.18013282768419162,0.06808380928731741,7
action_head_input,intervention_unrecovered_failure,7,0.3684210526315789,0.45684008005533905,0.17065231743006273,0.06450051322525702,7
action_head_input,intervention_unrecovered_failure,8,0.42105263157894735,0.5034680658734046,0.20487869654489313,0.07743686857040791,7
